,client,recency_segment,frequency_segment,monetary_segment,segments,segments_numeric,frequency,recency,monetary
440,u_105061,3,4,5,loyal customers,1,573.0,611,20.1175
441,u_105068,2,3,2,need attention,5,729.0,948,35.59
442,u_10509,4,2,3,others,11,1109.0,579,33.4025
443,u_105106,3,4,2,potential loyalist,2,318.0,601,39.325
444,u_105118,5,3,4,loyal customers,1,753.0,73,25.0475
445,u_105157,4,2,4,others,11,1313.0,439,25.9575
446,u_105163,1,5,2,lost,10,109.0,1332,35.9825
447,u_10517,4,2,4,others,11,1008.0,460,27.3
448,u_105173,3,2,3,need attention,5,1009.0,828,33.08
449,u_105183,4,4,3,loyal customers,1,549.0,557,29.744999999999997
450,u_10519,4,2,2,promising,4,982.0,410,36.165
451,u_105198,5,1,4,new customers,3,1528.0,158,25.22
452,u_1052,3,5,4,loyal customers,1,14.0,852,27.237499999999997
453,u_105201,5,3,3,loyal customers,1,587.0,177,31.805000000000003
454,u_105203,4,4,3,loyal customers,1,549.0,483,30.520000000000003
455,u_105221,2,4,1,others,11,361.0,1201,46.3475
456,u_105235,2,3,5,at risk,7,697.0,1158,16.7825
457,u_105250,5,5,4,loyal customers,1,160.0,106,25.09
458,u_105258,5,1,4,new customers,3,1366.0,147,23.65
459,u_105261,3,4,3,loyal customers,1,366.0,841,30.92
460,u_105269,2,4,5,at risk,7,382.0,1160,17.4
461,u_105289,5,4,3,loyal customers,1,406.0,52,28.36
462,u_105291,3,3,4,loyal customers,1,735.0,876,26.612499999999997
463,u_105306,2,3,2,need attention,5,668.0,1155,37.055
464,u_105316,5,2,5,new customers,3,1000.0,12,18.515
465,u_105333,5,2,2,new customers,3,1249.0,27,38.0175
466,u_105335,1,5,3,lost,10,213.0,1395,29.490000000000002
467,u_105366,5,1,5,new customers,3,1589.0,104,20.057499999999997
468,u_105368,4,4,3,loyal customers,1,467.0,544,33.15
469,u_105371,3,4,4,loyal customers,1,573.0,701,27.270000000000003
470,u_105379,5,4,2,potential loyalist,2,437.3333333333333,182,39.7925
471,u_105386,5,4,2,potential loyalist,2,382.5,11,39.829
472,u_105390,3,3,4,loyal customers,1,740.0,823,20.965
473,u_105396,4,1,3,others,11,1459.0,365,27.8075
474,u_105402,5,1,3,new customers,3,1498.0,245,32.8925
475,u_105412,5,5,3,loyal customers,1,34.0,86,27.5875
476,u_10543,3,2,4,others,11,1097.0,634,25.185000000000002
477,u_105455,2,3,4,at risk,7,884.0,1061,25.125
478,u_105464,4,3,1,others,11,728.0,460,49.447500000000005
479,u_105474,1,4,2,lost,10,341.0,1536,42.435
480,u_105482,4,3,4,loyal customers,1,704.5,386,25.53
481,u_105484,3,2,3,need attention,5,1040.0,818,32.7625
482,u_105501,4,4,5,loyal customers,1,470.0,515,14.5625
483,u_105523,1,5,2,lost,10,152.0,1498,42.3825
484,u_105529,2,4,2,others,11,408.0,1056,35.5225
485,u_105534,3,2,4,others,11,1175.0,680,26.2575
486,u_105547,4,3,4,loyal customers,1,754.0,517,23.185
487,u_10555,5,2,5,new customers,3,1117.0,52,18.7075
488,u_105567,3,3,2,potential loyalist,2,664.0,686,34.6175
489,u_105579,5,5,3,loyal customers,1,151.0,3,27.56
490,u_105599,5,3,3,loyal customers,1,911.5,49,32.343333333333334
491,u_105600,3,5,2,potential loyalist,2,145.0,916,41.55
492,u_105613,2,5,4,at risk,7,83.0,1072,24.627499999999998
493,u_105617,3,5,1,others,11,254.0,874,44.375
494,u_105639,2,4,4,at risk,7,559.0,1108,24.83
495,u_105640,1,4,3,lost,10,466.0,1420,28.11
496,u_105679,5,5,4,loyal customers,1,68.0,221,25.2125
497,u_105683,2,3,3,need attention,5,608.0,1080,28.2125
498,u_105702,3,4,4,loyal customers,1,581.0,770,25.0275
499,u_105773,4,1,3,others,11,1366.0,316,27.705000000000002
500,u_105785,5,4,4,loyal customers,1,286.0,197,22.15
501,u_105787,1,3,4,lost,10,598.0,1346,23.115
502,u_105805,5,5,5,champions,0,111.0,100,8.682500000000001
503,u_105808,3,3,4,loyal customers,1,733.0,682,23.1025
504,u_10582,5,4,3,loyal customers,1,448.0,179,28.9375
505,u_105830,1,5,4,lost,10,40.0,1447,21.712500000000002
506,u_105832,4,5,5,loyal customers,1,47.0,555,19.2375
507,u_105838,5,1,1,new customers,3,1767.0,89,47.417500000000004
508,u_105845,5,1,2,new customers,3,1558.0,246,35.195
509,u_105853,5,2,4,new customers,3,1224.0,272,20.6375
510,u_105855,5,1,1,new customers,3,1428.0,11,49.957499999999996
511,u_10587,2,3,3,need attention,5,876.0,985,29.2575
512,u_105872,3,5,2,potential loyalist,2,59.0,793,38.453333333333326
513,u_105888,4,4,3,loyal customers,1,456.0,288,28.57
514,u_105889,5,1,2,new customers,3,1358.0,242,34.575
515,u_105901,3,3,3,loyal customers,1,808.0,607,33.802499999999995
516,u_105911,4,5,1,others,11,163.0,386,44.855
517,u_105931,4,2,4,others,11,986.0,367,27.09
518,u_105957,5,4,4,loyal customers,1,336.0,8,25.509999999999998
519,u_105966,3,4,5,loyal customers,1,504.0,825,16.9775
520,u_105981,5,1,2,new customers,3,1701.0,4,41.224999999999994
521,u_105996,5,2,2,new customers,3,1274.0,73,40.575
522,u_106028,2,3,3,need attention,5,818.0,986,33.667500000000004
523,u_106030,3,4,2,potential loyalist,2,343.0,840,41.6425
524,u_106078,2,5,2,others,11,87.0,995,36.71
525,u_106124,4,3,2,potential loyalist,2,744.0,456,39.96
526,u_106146,4,5,4,loyal customers,1,163.0,325,23.057499999999997
527,u_106160,4,2,1,promising,4,1265.0,487,57.33
528,u_106187,3,3,4,loyal customers,1,607.0,819,27.3175
529,u_106195,3,3,3,loyal customers,1,925.0,707,31.060000000000002
530,u_106204,3,2,5,others,11,1019.0,854,19.425
531,u_106211,5,3,4,loyal customers,1,645.0,10,26.015
532,u_106214,1,5,3,lost,10,231.5,1395,33.696666666666665
533,u_106220,3,4,4,loyal customers,1,561.0,830,23.895
534,u_106221,4,3,5,loyal customers,1,612.0,317,17.305
535,u_106251,4,1,4,others,11,1435.0,322,26.235
536,u_106274,5,2,1,new customers,3,1285.0,134,44.65
537,u_106275,3,4,2,potential loyalist,2,346.0,841,41.155
538,u_106284,5,3,5,loyal customers,1,789.0,245,14.0
539,u_106297,2,3,5,at risk,7,700.0,970,16.557499999999997
540,u_10630,4,4,5,loyal customers,1,378.0,581,16.315
541,u_106303,2,4,2,others,11,550.0,1022,35.192499999999995
542,u_106304,4,4,2,potential loyalist,2,282.0,346,36.682500000000005
543,u_106306,5,3,2,potential loyalist,2,812.0,8,41.3075
544,u_106308,3,3,3,loyal customers,1,605.0,801,29.775
545,u_106311,3,1,2,promising,4,1341.0,604,38.315
546,u_106337,3,5,2,potential loyalist,2,275.0,846,41.50666666666667
547,u_106346,2,5,1,others,11,248.5,1205,47.22666666666667
548,u_106348,2,4,2,others,11,289.0,940,38.6475
549,u_106351,2,5,2,others,11,262.5,1186,35.473333333333336
550,u_106354,4,2,4,others,11,1121.0,439,26.025
551,u_106358,1,5,4,lost,10,75.0,1708,26.650000000000002
552,u_106360,5,1,1,new customers,3,1718.0,225,48.9375
553,u_106364,3,5,4,loyal customers,1,73.0,770,21.770000000000003
554,u_106365,3,2,2,promising,4,1020.0,828,39.165000000000006
555,u_106367,4,3,4,loyal customers,1,836.0,462,26.270000000000003
556,u_106384,4,1,2,promising,4,1512.0,436,35.09
557,u_106397,4,1,3,others,11,1346.0,345,34.135000000000005
558,u_106426,2,4,4,at risk,7,322.0,1085,25.671666666666667
559,u_106434,4,3,3,loyal customers,1,919.0,531,32.9575
560,u_106440,5,2,3,new customers,3,1127.0,193,30.332500000000003
561,u_106451,1,5,2,lost,10,245.0,1610,39.16
562,u_106458,5,5,3,loyal customers,1,70.0,221,33.5875
563,u_106460,4,4,4,loyal customers,1,390.0,555,21.8425
564,u_106468,4,3,3,loyal customers,1,736.0,515,30.6325
565,u_106495,5,2,3,new customers,3,1178.0,11,29.7
566,u_106511,5,5,5,champions,0,158.0,157,16.5875
567,u_106527,4,2,2,promising,4,1120.0,541,36.1075
568,u_106531,5,3,2,potential loyalist,2,691.0,155,40.90833333333333
569,u_106541,5,1,4,new customers,3,1420.0,72,21.7725
570,u_106575,3,4,4,loyal customers,1,428.0,845,21.872500000000002
571,u_106605,1,4,4,lost,10,528.0,1421,22.0875
572,u_106608,5,4,4,loyal customers,1,514.5,267,24.203333333333333
573,u_106620,2,4,3,at risk,7,525.0,970,28.3575
574,u_106625,5,1,3,new customers,3,1702.0,270,32.9525
575,u_106626,3,2,5,others,11,939.0,840,15.9225
576,u_106650,3,5,2,potential loyalist,2,271.5,850,35.81999999999999
577,u_10668,1,5,1,lost,10,214.0,1538,49.54
578,u_106689,5,4,4,loyal customers,1,575.6666666666666,198,23.0075
579,u_106704,3,3,2,potential loyalist,2,627.0,601,39.4825
580,u_106722,4,3,5,loyal customers,1,655.0,346,19.441666666666666
581,u_106724,2,5,3,at risk,7,265.0,1152,27.927500000000002
582,u_106733,2,5,5,at risk,7,217.0,1225,19.44
583,u_106744,2,3,1,others,11,659.0,1142,43.415
584,u_106784,4,4,5,loyal customers,1,287.0,512,13.364999999999998
585,u_10679,2,5,4,at risk,7,253.0,1163,22.3925
586,u_106813,1,4,3,lost,10,336.0,1513,33.2575
587,u_106819,2,5,5,at risk,7,46.0,1060,17.8725
588,u_10682,1,5,2,lost,10,228.0,1694,35.099999999999994
589,u_106841,4,4,5,loyal customers,1,466.0,400,17.2775
590,u_106845,3,3,3,loyal customers,1,908.0,604,32.6425
591,u_106862,5,5,5,champions,0,43.0,6,18.747500000000002
592,u_106894,4,2,3,others,11,1103.0,538,32.1275
593,u_106898,4,2,2,promising,4,959.0,436,37.775
594,u_106920,1,5,3,lost,10,169.0,1707,30.67
595,u_106927,5,5,4,loyal customers,1,90.5,169,24.493333333333336
596,u_106938,2,3,3,need attention,5,785.0,1075,31.715
597,u_10694,3,5,3,loyal customers,1,171.0,915,28.445
598,u_106941,1,5,3,lost,10,232.5,1514,27.551666666666666
599,u_106945,4,3,4,loyal customers,1,676.5,529,20.481666666666666
600,u_106959,3,3,4,loyal customers,1,732.0,900,25.85
601,u_10696,3,2,3,need attention,5,1097.0,848,33.7425
602,u_106978,4,5,1,others,11,191.0,578,43.49
603,u_106991,4,2,4,others,11,1105.0,384,22.64
604,u_106992,4,4,3,loyal customers,1,444.5,291,32.14833333333333
605,u_107007,4,5,3,loyal customers,1,194.0,577,28.025
606,u_107008,3,3,3,loyal customers,1,925.0,865,29.3675
607,u_107020,1,5,2,lost,10,142.0,1569,34.2725
608,u_107021,1,4,1,lost,10,403.0,1314,43.455
609,u_107030,5,4,2,potential loyalist,2,324.0,183,34.5325
610,u_107038,4,4,4,loyal customers,1,480.0,533,26.7175
611,u_107039,4,5,2,potential loyalist,2,234.0,393,39.09
612,u_107042,1,5,5,can`t lose them,8,77.0,1680,17.9375
613,u_107064,5,1,5,new customers,3,1604.0,197,19.6325
614,u_107065,4,3,2,potential loyalist,2,749.0,288,39.2075
615,u_107068,2,3,1,others,11,720.0,1060,46.115
616,u_107073,5,3,1,others,11,829.0,86,53.3925
617,u_10709,2,3,5,at risk,7,888.0,1019,18.515
618,u_107093,3,5,2,potential loyalist,2,144.0,602,39.905
619,u_107099,1,5,3,lost,10,194.0,1467,30.549999999999997
620,u_107102,2,4,4,at risk,7,390.0,1106,22.4975
621,u_107135,2,4,3,at risk,7,523.0,1111,32.832499999999996
622,u_107151,5,4,3,loyal customers,1,407.25,121,31.709999999999997
623,u_107163,5,3,5,loyal customers,1,806.5,248,19.405
624,u_107176,5,2,3,new customers,3,1068.0,179,33.565
625,u_107181,3,4,4,loyal customers,1,427.0,852,21.05666666666667
626,u_107207,1,5,3,lost,10,241.0,1425,32.08
627,u_107228,2,4,1,others,11,380.0,939,45.6125
628,u_107242,5,5,3,loyal customers,1,175.0,160,29.79
629,u_107257,5,3,5,loyal customers,1,761.5,131,19.676666666666666
630,u_107288,3,2,3,need attention,5,1220.0,635,30.7675
631,u_107291,1,5,2,lost,10,222.0,1466,35.91
632,u_107300,1,4,4,lost,10,317.0,1537,26.6425
633,u_107315,5,1,2,new customers,3,1517.0,101,39.6925
634,u_107325,1,5,2,lost,10,20.0,1664,36.32
635,u_107384,3,4,3,loyal customers,1,407.0,893,32.295
636,u_107387,5,3,3,loyal customers,1,698.0,125,33.91833333333334
637,u_107394,3,5,5,loyal customers,1,194.0,841,14.162500000000001
638,u_107401,2,4,3,at risk,7,487.0,1201,29.9
639,u_107425,4,2,4,others,11,1281.0,411,22.775
640,u_107426,5,4,3,loyal customers,1,413.0,178,33.495
641,u_107432,3,3,4,loyal customers,1,634.0,866,21.995
642,u_107434,4,2,5,others,11,1256.0,484,17.8375
643,u_107442,2,4,5,at risk,7,301.0,1200,15.07
644,u_107467,4,4,5,loyal customers,1,461.0,552,19.6175
645,u_107480,4,3,4,loyal customers,1,623.0,578,26.385
646,u_1075,3,3,4,loyal customers,1,814.0,679,24.637500000000003
647,u_107523,5,2,3,new customers,3,1265.0,158,34.0375
648,u_107534,3,2,3,need attention,5,1037.0,796,31.0475
649,u_107549,3,3,4,loyal customers,1,885.0,820,24.46
650,u_10760,4,3,1,others,11,822.0,360,46.985
651,u_107601,5,4,4,loyal customers,1,397.75,243,22.881999999999998
652,u_10761,4,3,3,loyal customers,1,743.5,461,33.51666666666667
653,u_107610,5,3,3,loyal customers,1,605.0,177,34.0525
654,u_107618,1,5,3,lost,10,250.0,1396,32.36
655,u_107619,4,1,3,others,11,1344.0,292,33.567499999999995
656,u_107621,5,4,3,loyal customers,1,366.6666666666667,124,30.8375
657,u_107631,3,5,4,loyal customers,1,9.0,832,23.990000000000002
658,u_107632,5,3,2,potential loyalist,2,777.0,75,35.77
659,u_107673,1,4,2,lost,10,406.0,1565,35.49
660,u_107689,5,4,3,loyal customers,1,553.5,72,29.87166666666667
661,u_107695,4,3,4,loyal customers,1,629.0,388,22.0425
662,u_107720,4,4,2,potential loyalist,2,430.0,362,39.927499999999995
663,u_107726,1,3,2,lost,10,667.0,1315,40.769999999999996
664,u_107740,5,3,3,loyal customers,1,635.6666666666666,73,32.67875
665,u_107777,3,2,2,promising,4,1256.0,716,39.269999999999996
666,u_107778,2,4,1,others,11,306.5,1243,44.31333333333333
667,u_10778,4,4,2,potential loyalist,2,319.0,506,35.33
668,u_107780,3,1,4,others,11,1375.0,596,23.947499999999998
669,u_107785,4,5,4,loyal customers,1,107.0,408,23.08
670,u_107790,1,5,1,lost,10,217.0,1404,50.7125
671,u_107791,2,4,4,at risk,7,336.0,964,26.192500000000003
672,u_107811,4,3,4,loyal customers,1,717.0,390,26.91
673,u_107813,5,2,4,new customers,3,1158.0,243,21.3075
674,u_107814,4,1,2,promising,4,1459.0,484,39.695
675,u_107816,5,1,5,new customers,3,1408.0,76,13.515
676,u_107823,5,4,2,potential loyalist,2,382.5,249,34.735
677,u_107840,2,5,4,at risk,7,95.5,1304,22.391666666666666
678,u_107855,4,4,2,potential loyalist,2,438.0,439,39.5
679,u_107859,4,2,2,promising,4,1281.0,388,40.042500000000004
680,u_107865,5,1,4,new customers,3,1488.0,9,22.1125
681,u_107869,4,2,1,promising,4,1256.0,487,44.01
682,u_107875,3,3,2,potential loyalist,2,608.0,916,38.2875
683,u_10788,2,3,4,at risk,7,769.0,1201,24.62
684,u_107892,3,3,4,loyal customers,1,916.0,772,20.582500000000003
685,u_107909,5,5,1,others,11,95.0,267,44.307500000000005
686,u_107912,4,4,3,loyal customers,1,344.0,590,33.818333333333335
687,u_107917,5,1,2,new customers,3,1461.0,270,39.9275
688,u_107923,4,3,2,potential loyalist,2,836.0,321,34.4825
689,u_107929,3,4,4,loyal customers,1,475.0,706,22.755000000000003
690,u_107944,1,5,2,lost,10,96.0,1323,36.0225
691,u_107945,5,3,3,loyal customers,1,747.0,240,33.2225
692,u_107957,3,4,2,potential loyalist,2,415.0,605,39.785000000000004
693,u_107962,5,3,2,potential loyalist,2,677.0,3,39.46333333333333
694,u_107974,5,5,3,loyal customers,1,183.5,148,33.26499999999999
695,u_107975,5,1,2,new customers,3,1849.0,48,39.825
696,u_10799,4,5,2,potential loyalist,2,143.0,340,38.9975
697,u_107997,3,4,4,loyal customers,1,478.0,699,24.862499999999997
698,u_108017,3,5,4,loyal customers,1,197.0,626,21.17
699,u_108038,5,1,3,new customers,3,1555.0,127,31.5675
700,u_108060,3,2,4,others,11,1034.0,917,25.415
701,u_108065,4,1,4,others,11,1377.0,458,25.7075
702,u_108078,5,4,5,loyal customers,1,305.0,13,8.809999999999999
703,u_108090,3,4,1,others,11,313.5,890,49.805
704,u_108096,4,4,2,potential loyalist,2,378.0,447,39.3975
705,u_108101,5,1,5,new customers,3,1417.0,105,12.31
706,u_108107,5,1,4,new customers,3,1391.0,181,26.665
707,u_108111,2,4,2,others,11,505.0,995,35.792500000000004
708,u_108115,3,4,4,loyal customers,1,362.0,824,27.3525
709,u_108130,5,3,3,loyal customers,1,718.5,74,32.30833333333333
710,u_10814,1,5,1,lost,10,164.0,1613,49.89
711,u_108151,2,5,4,at risk,7,48.0,1132,20.9975
712,u_108154,3,5,5,loyal customers,1,163.0,917,11.6375
713,u_108159,5,5,4,loyal customers,1,272.5,8,27.30333333333333
714,u_108178,2,3,5,at risk,7,801.0,1130,10.09
715,u_108247,4,4,5,loyal customers,1,315.0,530,15.268333333333333
716,u_108250,3,5,4,loyal customers,1,222.0,794,25.0575
717,u_108253,2,5,2,others,11,63.0,1020,35.9825
718,u_108257,3,5,4,loyal customers,1,91.0,772,24.064999999999998
719,u_108258,4,4,2,potential loyalist,2,418.0,534,41.63833333333333
720,u_108285,1,5,1,lost,10,17.0,1544,45.682500000000005
721,u_108296,5,3,1,others,11,739.0,177,44.220000000000006
722,u_108321,5,1,2,new customers,3,1379.0,230,40.3125
723,u_108345,5,4,2,potential loyalist,2,569.0,220,34.785000000000004
724,u_108348,3,2,5,others,11,959.0,602,19.1025
725,u_108353,1,4,2,lost,10,524.0,1424,41.785
726,u_10836,3,2,3,need attention,5,1059.0,698,31.28
727,u_108368,5,3,3,loyal customers,1,698.0,195,30.87
728,u_108423,4,3,3,loyal customers,1,841.0,578,30.285
729,u_108447,3,4,1,others,11,381.0,821,53.192499999999995
730,u_108454,3,5,1,others,11,9.0,849,46.2675
731,u_108473,5,5,3,loyal customers,1,58.0,6,28.735
732,u_108488,5,3,4,loyal customers,1,855.0,153,26.62
733,u_10850,3,4,4,loyal customers,1,506.0,845,26.869999999999997
734,u_108509,3,3,5,loyal customers,1,718.0,807,13.43
735,u_108557,5,1,5,new customers,3,1504.0,155,13.489999999999998
736,u_108572,5,4,4,loyal customers,1,415.0,75,26.990000000000002
737,u_108578,1,4,4,lost,10,410.0,1562,21.2225
738,u_108582,2,3,1,others,11,855.0,941,43.7475
739,u_108592,5,3,2,potential loyalist,2,627.0,73,39.388333333333335
740,u_108594,5,3,4,loyal customers,1,586.0,158,24.015
741,u_108620,4,5,3,loyal customers,1,72.0,535,31.502499999999998
742,u_108663,5,1,3,new customers,3,1659.0,10,27.915
743,u_10867,5,1,4,new customers,3,1578.0,270,23.02
744,u_10868,3,2,1,promising,4,1154.0,771,45.22
745,u_108696,4,3,5,loyal customers,1,734.0,518,18.1625
746,u_108699,5,5,3,loyal customers,1,51.0,53,34.1175
747,u_1087,2,4,3,at risk,7,408.0,1178,29.195
748,u_108702,4,1,4,others,11,1380.0,349,23.237499999999997
749,u_108716,1,5,5,can`t lose them,8,62.0,1694,10.295000000000002
750,u_108721,3,3,4,loyal customers,1,871.0,864,23.475
751,u_10874,3,2,1,promising,4,1008.0,698,44.4175
752,u_108768,1,5,2,lost,10,82.0,1514,35.225
753,u_108786,2,5,3,at risk,7,226.0,1059,31.02
754,u_108797,1,5,2,lost,10,64.0,1352,40.099999999999994
755,u_108803,4,3,4,loyal customers,1,637.0,300,27.06
756,u_108835,1,5,2,lost,10,272.0,1584,38.375
757,u_108861,4,5,3,loyal customers,1,33.0,326,28.725
758,u_108865,2,4,1,others,11,536.0,1082,53.057500000000005
759,u_108899,3,4,3,loyal customers,1,433.0,820,29.1175
760,u_1089,2,5,4,at risk,7,27.0,1130,21.5325
761,u_10891,3,4,5,loyal customers,1,404.0,777,10.532499999999999
762,u_10892,4,4,4,loyal customers,1,415.0,412,23.877499999999998
763,u_108925,5,2,3,new customers,3,966.0,51,28.7625
764,u_108927,2,4,4,at risk,7,336.0,998,20.79
765,u_108929,2,4,2,others,11,393.0,1275,38.3575
766,u_108955,4,2,4,others,11,1131.0,418,26.6
767,u_108959,3,3,2,potential loyalist,2,876.0,818,36.03
768,u_108980,2,5,5,at risk,7,40.0,1164,15.2975
769,u_108987,4,2,5,others,11,1201.0,552,9.365
770,u_108990,5,4,1,others,11,356.5,157,44.580000000000005
771,u_108999,3,2,1,promising,4,953.0,676,48.817499999999995
772,u_109011,3,4,4,loyal customers,1,314.0,720,21.605
773,u_109021,5,4,4,loyal customers,1,396.0,50,23.903333333333336
774,u_109022,3,2,3,need attention,5,1245.0,607,27.79
775,u_109046,3,5,5,loyal customers,1,172.5,819,12.843333333333334
776,u_10905,2,3,3,need attention,5,776.0,1205,33.7475
777,u_109094,5,5,5,champions,0,172.0,4,8.145
778,u_109106,5,5,2,potential loyalist,2,241.0,29,40.55
779,u_109138,3,3,4,loyal customers,1,601.0,924,25.725
780,u_109142,2,4,2,others,11,299.0,1200,35.3975
781,u_109152,3,4,1,others,11,292.0,673,43.815
782,u_109172,4,5,5,loyal customers,1,154.0,303,17.8275
783,u_109180,5,3,4,loyal customers,1,663.0,179,21.285
784,u_109184,2,4,2,others,11,546.0,1161,41.0925
785,u_109187,4,1,4,others,11,1415.0,343,25.485
786,u_1092,5,1,3,new customers,3,1760.0,100,31.5925
787,u_109205,4,5,4,loyal customers,1,200.0,480,26.042499999999997
788,u_109226,4,3,4,loyal customers,1,713.0,469,23.6575
789,u_109230,4,4,4,loyal customers,1,578.0,456,26.3975
790,u_109233,2,3,2,need attention,5,819.0,1038,35.235
791,u_109242,4,4,3,loyal customers,1,571.0,344,33.84
792,u_109244,5,3,3,loyal customers,1,718.5,268,29.116666666666664
793,u_109250,3,4,3,loyal customers,1,410.0,842,28.075
794,u_109274,4,1,4,others,11,1452.0,494,26.549999999999997
795,u_109277,5,4,4,loyal customers,1,568.0,34,25.3075
796,u_109280,5,2,4,new customers,3,1212.0,11,25.425
797,u_10930,2,5,5,at risk,7,235.0,990,16.235
798,u_109313,2,4,3,at risk,7,297.0,1200,32.6925
799,u_109329,3,2,4,others,11,1083.0,605,25.91
800,u_109346,1,5,4,lost,10,240.0,1321,22.165
801,u_109359,5,1,5,new customers,3,1571.0,170,10.752500000000001
802,u_109383,4,1,3,others,11,1416.0,555,30.0775
803,u_109384,3,2,1,promising,4,1131.0,700,48.9925
804,u_109386,1,4,1,lost,10,388.0,1498,48.065
805,u_109389,5,3,5,loyal customers,1,689.0,155,18.515
806,u_109419,4,2,4,others,11,941.0,586,24.515
807,u_109424,4,5,4,loyal customers,1,158.0,529,21.64
808,u_109438,5,1,5,new customers,3,1496.0,176,15.7625
809,u_109447,5,4,2,potential loyalist,2,456.6666666666667,218,36.07625
810,u_10945,3,2,5,others,11,1125.0,751,14.4625
811,u_109451,3,5,1,others,11,97.0,672,46.3025
812,u_109480,5,3,5,loyal customers,1,664.0,176,10.9925
813,u_109485,2,4,4,at risk,7,360.0,1181,22.5175
814,u_109498,3,3,4,loyal customers,1,758.0,801,26.67
815,u_109508,2,5,2,others,11,142.0,1227,36.415
816,u_109534,1,4,1,lost,10,300.0,1524,44.33
817,u_109539,2,5,4,at risk,7,222.5,1067,25.396666666666665
818,u_109547,5,1,5,new customers,3,1635.0,26,19.9
819,u_10955,1,4,2,lost,10,403.0,1348,36.5625
820,u_109550,2,4,4,at risk,7,307.0,1184,25.1575
821,u_109564,3,5,3,loyal customers,1,191.0,806,28.8725
822,u_109567,2,5,2,others,11,272.0,1081,36.58
823,u_109568,1,5,5,can`t lose them,8,190.0,1666,7.1175
824,u_109570,2,4,2,others,11,445.0,1018,38.945
825,u_109580,1,5,1,lost,10,105.0,1395,45.6625
826,u_109608,5,4,2,potential loyalist,2,503.5,29,39.875
827,u_109613,4,3,3,loyal customers,1,864.0,292,34.1575
828,u_109616,5,3,5,loyal customers,1,637.0,240,16.296666666666667
829,u_109650,5,4,3,loyal customers,1,444.0,60,33.7775
830,u_109652,3,3,2,potential loyalist,2,837.0,827,36.129999999999995
831,u_109655,4,2,3,others,11,1146.0,489,32.6325
832,u_109656,5,1,4,new customers,3,1691.0,134,23.947499999999998
833,u_109670,2,4,4,at risk,7,338.5,1015,24.506666666666664
834,u_109684,3,4,3,loyal customers,1,365.0,820,30.155
835,u_10970,4,2,5,others,11,1256.0,409,19.0175
836,u_109707,5,4,5,loyal customers,1,469.0,254,11.485000000000001
837,u_109717,1,4,2,lost,10,503.0,1394,38.7
838,u_10973,2,4,5,at risk,7,357.0,1159,17.43
839,u_109733,5,2,3,new customers,3,939.0,101,29.6475
840,u_109743,1,4,3,lost,10,281.0,1666,32.9875
841,u_109755,2,4,2,others,11,325.0,1066,36.692499999999995
842,u_109766,5,4,5,loyal customers,1,408.5,197,14.476666666666667
843,u_109801,5,1,3,new customers,3,1422.0,218,30.3075
844,u_109864,3,4,4,loyal customers,1,438.0,836,24.9525
845,u_109872,2,5,2,others,11,124.0,1272,34.825
846,u_109907,4,4,2,potential loyalist,2,507.0,508,37.275000000000006
847,u_109917,5,3,3,loyal customers,1,789.0,8,28.118333333333336
848,u_109931,5,3,3,loyal customers,1,707.0,133,29.2425
849,u_109935,4,5,5,loyal customers,1,269.0,555,19.7425
850,u_109938,1,5,2,lost,10,72.5,1729,36.29666666666667
851,u_109952,5,1,3,new customers,3,1493.0,212,33.95
852,u_109959,5,2,5,new customers,3,1248.0,196,14.115
853,u_109963,1,5,1,lost,10,170.0,1756,53.475
854,u_10997,5,3,3,loyal customers,1,693.0,172,30.630000000000003
855,u_109983,1,5,1,lost,10,163.0,1421,46.415
856,u_109997,2,5,1,others,11,122.0,1154,46.9325
857,u_110020,4,4,4,loyal customers,1,519.0,420,21.545
858,u_110021,4,4,2,potential loyalist,2,527.0,291,38.845
859,u_110043,2,2,3,need attention,5,986.0,988,29.16
860,u_110082,2,3,3,need attention,5,696.0,1130,29.207500000000003
861,u_110101,4,3,2,potential loyalist,2,720.0,460,34.8425
862,u_110145,1,5,4,lost,10,74.0,1419,26.427500000000002
863,u_110153,5,5,2,potential loyalist,2,239.0,9,35.7175
864,u_110190,5,2,3,new customers,3,1055.0,193,29.0975
865,u_110199,4,3,5,loyal customers,1,785.0,490,10.875
866,u_110225,3,4,5,loyal customers,1,280.0,709,19.6225
867,u_110230,3,3,4,loyal customers,1,826.0,865,20.8375
868,u_110239,4,5,2,potential loyalist,2,158.5,361,40.01
869,u_11024,3,4,3,loyal customers,1,512.0,915,27.5875
870,u_110285,4,5,4,loyal customers,1,145.0,534,23.5075
871,u_110308,4,4,3,loyal customers,1,583.0,490,27.473333333333333
872,u_110312,5,4,2,potential loyalist,2,395.0,14,38.6525
873,u_110315,5,3,2,potential loyalist,2,689.0,13,39.25
874,u_11034,2,5,3,at risk,7,189.0,1137,33.968333333333334
875,u_110365,5,2,5,new customers,3,1230.0,122,16.475
876,u_110376,5,4,3,loyal customers,1,365.0,4,33.535
877,u_110378,2,5,4,at risk,7,31.0,961,26.15
878,u_110379,1,4,5,lost,10,278.0,1523,19.049999999999997
879,u_110413,5,5,2,potential loyalist,2,249.0,243,38.677499999999995
880,u_110431,3,5,4,loyal customers,1,197.0,794,23.182499999999997
881,u_110455,5,4,3,loyal customers,1,425.0,178,32.31
